City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Nome,US,64.5011,-165.4064,29.79,75,100,4.88,overcast clouds
164,Mengcheng,CN,33.2579,116.5655,71.01,94,0,7.76,light rain
165,Tondano,ID,1.3038,124.9112,67.5,96,100,4.45,overcast clouds
166,San Andres,CO,12.5847,-81.7006,82.6,77,46,10.29,scattered clouds
167,Niteroi,BR,-22.8833,-43.1036,78.8,75,6,17.54,clear sky
168,Deputatskiy,RU,69.3,139.9,25.75,76,100,3.31,overcast clouds
169,Tutoia,BR,-2.7619,-42.2744,84.06,63,33,14.7,scattered clouds
170,Rio Grande,BR,-32.035,-52.0986,59.95,65,91,20.54,overcast clouds
171,Kruisfontein,ZA,-34.0033,24.7314,51.89,86,89,2.37,overcast clouds
172,Sur,OM,22.5667,59.5289,87.87,59,39,10.78,scattered clouds
173,Ancud,CL,-41.8697,-73.8203,55.85,59,0,1.86,clear sky
174,Cherskiy,RU,68.75,161.3,26.15,74,86,4.36,overcast clouds
175,Chumikan,RU,54.7183,135.315,40.87,67,0,2.73,clear sky
176,Oktyabrskiy,RU,54.4815,53.471,48.63,54,100,5.26,overcast clouds
177,Necochea,AR,-38.5473,-58.7368,60.04,52,0,7.25,clear sky
178,Camacha,PT,33.0833,-16.3333,68.7,68,84,18.54,broken clouds
179,Binabalian,PH,16.4202,119.9279,82.69,79,97,9.42,overcast clouds
180,Kamenka,RU,51.3223,42.7678,53.55,72,96,5.82,overcast clouds
181,Cabedelo,BR,-6.9811,-34.8339,80.92,67,11,10.94,few clouds
182,Ballina,AU,-28.8667,153.5667,48.78,60,76,20.42,broken clouds
183,Dunedin,NZ,-45.8742,170.5036,44.8,78,12,6.64,few clouds
184,Senanga,ZM,-16.1167,23.2667,83.07,17,44,7.11,scattered clouds
185,Houma,US,29.5958,-90.7195,93.0,65,1,1.83,light rain
186,Havre,FR,49.5833,0.3333,58.48,70,39,7.61,scattered clouds
187,Markova,UA,48.6758,24.4138,41.32,83,64,4.09,broken clouds
188,Khatanga,RU,71.9667,102.5,30.04,94,100,10.2,overcast clouds
189,Bosaso,SO,11.2842,49.1816,88.38,67,1,6.4,clear sky
190,Pevek,RU,69.7008,170.3133,25.5,90,89,6.73,overcast clouds
191,Nueva Concepcion,GT,14.2,-91.3,89.37,66,60,6.78,broken clouds
192,Shimla,IN,31.1,77.1667,58.3,92,9,3.0,clear sky
193,Korla,CN,41.7597,86.1469,73.65,27,11,12.93,few clouds
194,Launceston,AU,-41.45,147.1667,45.16,92,88,1.01,overcast clouds
195,Lasa,IT,46.6166,10.7002,55.36,80,5,3.24,clear sky
196,Gambela,ET,8.25,34.5833,70.45,98,100,4.29,light rain
197,Bilibino,RU,68.0546,166.4372,14.52,90,45,3.89,scattered clouds
198,Ternate,ID,0.8,127.4,80.02,82,97,6.6,overcast clouds
199,Akureyri,IS,65.6835,-18.0878,37.72,99,100,7.47,overcast clouds
200,Tiksi,RU,71.6872,128.8694,33.06,71,100,3.31,overcast clouds
201,Chapais,CA,49.7834,-74.8492,73.89,61,97,18.03,overcast clouds
202,Kodiak,US,57.79,-152.4072,42.21,49,0,30.24,clear sky
203,Sarkand,KZ,45.41,79.9186,46.35,33,7,4.12,clear sky
204,Klaksvik,FO,62.2266,-6.589,54.82,94,100,41.88,overcast clouds
205,Saint-Joseph,RE,-21.3667,55.6167,65.21,70,19,10.92,few clouds
206,Excelsior Springs,US,39.3392,-94.2261,71.98,30,69,17.09,broken clouds
207,Bizhbulyak,RU,53.6967,54.2642,48.61,42,100,8.01,light rain
208,Rawson,AR,-43.3002,-65.1023,71.51,22,0,16.87,clear sky
209,Oda,JP,35.1833,132.5,71.56,82,43,11.14,scattered clouds
210,Kuryk,KZ,43.2,51.65,75.52,21,12,25.14,few clouds
211,Zaozerne,UA,45.1582,33.2787,57.94,58,77,14.67,broken clouds
212,San Patricio,US,28.017,-97.5169,95.02,43,0,6.33,clear sky
213,Swan Hill,AU,-35.3378,143.5544,48.51,83,98,9.06,overcast clouds
214,Nhulunbuy,AU,-12.2333,136.7667,80.44,55,23,21.16,few clouds
215,Airai,TL,-8.9266,125.4092,59.23,80,91,2.95,overcast clouds
216,Talara,PE,-4.5772,-81.2719,67.82,78,27,20.94,scattered clouds
217,Kaitangata,NZ,-46.2817,169.8464,40.28,90,26,6.87,scattered clouds
218,Casino,AU,-28.8667,153.05,48.56,74,41,3.51,scattered clouds
219,Alekseyevka,RU,50.6309,38.6903,49.78,88,98,5.1,overcast clouds
220,Los Pozos,VE,8.4518,-62.7268,89.87,54,100,4.0,overcast clouds
221,Port Blair,IN,11.6667,92.75,78.96,84,100,14.03,moderate rain
222,Hare Bay,CA,48.8499,-54.0148,69.94,42,65,11.5,broken clouds
223,Srandakan,ID,-7.9386,110.2506,75.63,86,100,4.61,overcast clouds
