City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Fairbanks,US,2021-09-21 12:29:33,64.8378,-147.7164,33.76,74,75,3.44
155,Lewisporte,CA,2021-09-21 12:29:34,49.2499,-55.0482,53.31,46,30,9.31
156,Luwuk,ID,2021-09-21 12:29:34,-0.9516,122.7875,72.79,92,99,5.64
157,Lebu,CL,2021-09-21 12:27:19,-37.6167,-73.65,48.27,67,0,3.51
158,San Andres,CO,2021-09-21 12:29:34,12.5847,-81.7006,82.42,78,75,10.36
159,La Palma,US,2021-09-21 12:29:34,33.8464,-118.0467,77.5,94,1,0.0
160,Selty,RU,2021-09-21 12:29:35,57.3132,52.1345,50.2,52,86,6.69
161,Comodoro Rivadavia,AR,2021-09-21 12:29:35,-45.8667,-67.5,55.26,41,0,2.3
162,Tessalit,ML,2021-09-21 12:29:35,20.1986,1.0114,105.04,6,2,10.42
163,Vilhena,BR,2021-09-21 12:29:35,-12.7406,-60.1458,85.26,28,22,3.85
164,Coolum Beach,AU,2021-09-21 12:29:36,-26.5333,153.1,54.34,33,0,16.44
165,Belaya Gora,RU,2021-09-21 12:27:32,68.5333,146.4167,31.24,61,94,5.64
166,Severo-Kurilsk,RU,2021-09-21 12:27:02,50.6789,156.125,49.28,85,30,16.71
167,Chuy,UY,2021-09-21 12:27:11,-33.6971,-53.4616,55.38,72,81,16.17
168,Valparaiso,CL,2021-09-21 12:29:36,-33.0393,-71.6273,52.03,94,90,8.05
169,Chimbote,PE,2021-09-21 12:29:36,-9.0853,-78.5783,61.75,87,94,7.36
170,Tasiilaq,GL,2021-09-21 12:27:08,65.6145,-37.6368,32.16,64,100,3.96
171,Ushtobe,KZ,2021-09-21 12:29:37,45.2514,77.9838,65.52,16,37,10.22
172,Port Lincoln,AU,2021-09-21 12:27:37,-34.7333,135.8667,53.6,78,94,7.2
173,Terrace Bay,CA,2021-09-21 12:29:37,48.7834,-87.1,53.22,85,100,20.36
174,Okhotsk,RU,2021-09-21 12:29:37,59.3833,143.3,46.51,63,75,8.88
175,Tiznit,MA,2021-09-21 12:29:37,29.5833,-9.5,76.06,54,27,8.12
176,Cabo San Lucas,MX,2021-09-21 12:25:40,22.8909,-109.9124,78.15,94,40,0.0
177,Malartic,CA,2021-09-21 12:29:38,48.1335,-78.1328,64.51,88,100,13.51
178,Champerico,GT,2021-09-21 12:29:38,14.3,-91.9167,80.04,84,88,4.7
179,Arona,ES,2021-09-21 12:29:38,28.0996,-16.681,73.92,56,20,4.0
180,Borogontsy,RU,2021-09-21 12:29:39,62.6683,131.1683,36.21,79,30,2.3
181,Virginia Beach,US,2021-09-21 12:27:13,36.8529,-75.978,78.85,76,75,1.01
182,Puro,PH,2021-09-21 12:29:39,12.4841,123.3827,80.58,83,99,6.31
183,Ibra,OM,2021-09-21 12:29:39,22.6906,58.5334,101.84,22,3,12.48
184,Vila Velha,BR,2021-09-21 12:25:01,-20.3297,-40.2925,82.35,65,0,11.5
185,Kerur,IN,2021-09-21 12:29:39,16.0167,75.5667,78.22,71,100,10.36
186,La Roche-Sur-Yon,FR,2021-09-21 12:29:40,46.6667,-1.4333,71.87,46,0,12.66
187,Iwaki,JP,2021-09-21 12:29:40,37.05,140.8833,65.05,87,4,4.07
188,Sao Joao Da Barra,BR,2021-09-21 12:27:56,-21.6403,-41.0511,84.29,65,4,9.22
189,Mengyin,CN,2021-09-21 12:29:40,35.7069,117.9264,69.12,76,0,2.59
190,Saskylakh,RU,2021-09-21 12:27:22,71.9167,114.0833,34.05,92,100,4.83
191,Yulara,AU,2021-09-21 12:28:27,-25.2406,130.9889,60.64,25,87,10.36
192,Lasa,IT,2021-09-21 12:27:23,46.6166,10.7002,69.03,41,9,0.78
193,Mar Del Plata,AR,2021-09-21 12:22:29,-38.0023,-57.5575,51.35,67,0,10.29
194,High Level,CA,2021-09-21 12:29:41,58.5169,-117.136,46.51,81,40,5.75
195,Sitka,US,2021-09-21 12:26:56,57.0531,-135.33,57.09,82,90,24.16
196,Rongcheng,CN,2021-09-21 12:29:41,30.634,117.8517,73.45,74,0,4.07
197,Bajil,YE,2021-09-21 12:29:41,15.0584,43.2851,98.13,44,8,16.06
198,Vagur,FO,2021-09-21 12:29:41,61.4732,-6.8119,54.19,85,100,41.2
199,Praia Da Vitoria,PT,2021-09-21 12:26:32,38.7333,-27.0667,73.65,73,75,14.97
200,Stolin,BY,2021-09-21 12:29:42,51.8912,26.846,41.85,93,100,13.13
201,Bac Lieu,VN,2021-09-21 12:29:42,9.285,105.7244,80.96,80,79,8.5
202,Avera,US,2021-09-21 12:28:07,33.194,-82.5271,74.08,97,100,4.29
203,Chokurdakh,RU,2021-09-21 12:27:28,70.6333,147.9167,29.05,63,100,7.85
204,Gumrak,RU,2021-09-21 12:29:42,48.7826,44.3824,62.51,88,75,13.42
205,Skerries,IE,2021-09-21 12:29:43,53.5828,-6.1083,69.1,82,99,8.79
206,Yerbogachen,RU,2021-09-21 12:29:43,61.2767,108.0108,41.07,74,100,7.7
207,Ranong,TH,2021-09-21 12:29:43,9.9658,98.6348,76.93,88,100,10.69
208,Coquimbo,CL,2021-09-21 12:29:43,-29.9533,-71.3436,53.17,80,66,4.34
209,Newark,US,2021-09-21 12:27:01,40.7357,-74.1724,68.97,82,75,5.75
210,Quatre Cocos,MU,2021-09-21 12:27:24,-20.2078,57.7625,74.08,60,67,13.98
211,Ponta Delgada,PT,2021-09-21 12:28:40,37.7333,-25.6667,74.12,64,20,13.8
212,Sangueya,GN,2021-09-21 12:29:44,10.7,-14.3667,87.87,66,43,3.2
213,Povenets,RU,2021-09-21 12:29:44,62.8487,34.8262,47.7,53,67,8.72
214,Birin,NP,2021-09-21 12:29:44,26.8865,88.0718,64.47,95,77,2.75
215,Viedma,AR,2021-09-21 12:29:45,-40.8135,-62.9967,55.53,33,0,9.06
216,Broken Hill,AU,2021-09-21 12:29:45,-31.95,141.4333,46.11,39,0,6.91
217,Wajir,KE,2021-09-21 12:29:45,1.7471,40.0573,94.41,28,14,16.93
218,Qaanaaq,GL,2021-09-21 12:27:39,77.484,-69.3632,11.57,72,86,11.5
219,Tibagi,BR,2021-09-21 12:29:45,-24.5094,-50.4136,83.1,42,11,1.1
220,Nguruka,TZ,2021-09-21 12:29:46,-5.1092,31.0419,96.15,17,0,4.56
221,Reconquista,AR,2021-09-21 12:29:46,-29.15,-59.65,58.62,54,95,15.5
222,Saint-Francois,FR,2021-09-21 12:29:09,46.4154,3.9054,63.48,84,40,4.61
223,Kargopol,RU,2021-09-21 12:29:46,61.5071,38.9456,46.62,58,82,8.97
224,Salto De Pirapora,BR,2021-09-21 12:29:46,-23.6489,-47.5733,85.69,34,24,2.84
225,Qasigiannguit,GL,2021-09-21 12:29:47,68.8193,-51.1922,30.45,91,81,3.71
226,Jiangyou,CN,2021-09-21 12:29:47,31.7667,104.7167,75.63,77,67,2.06
227,Hami,CN,2021-09-21 12:28:07,42.8,93.45,79.7,21,27,6.76
228,Abha,SA,2021-09-21 12:29:47,18.2164,42.5053,80.42,29,40,4.61
229,Nioro,GM,2021-09-21 12:27:49,13.35,-15.75,89.02,63,38,6.98
230,Tuatapere,NZ,2021-09-21 12:28:32,-46.1333,167.6833,43.83,92,48,3.78
231,Xining,CN,2021-09-21 12:27:29,36.6167,101.7667,62.22,36,64,4.27
232,Saint Anthony,US,2021-09-21 12:29:48,45.0205,-93.218,54.25,89,75,3.0
233,Dubbo,AU,2021-09-21 12:29:48,-32.25,148.6167,44.73,70,3,10.36
234,Te Anau,NZ,2021-09-21 12:29:48,-45.4167,167.7167,38.77,95,54,2.91
235,Haines Junction,CA,2021-09-21 12:27:56,60.7522,-137.5108,35.55,100,100,1.14
236,Chicomuselo,MX,2021-09-21 12:29:48,15.7667,-92.2667,68.14,91,76,2.13
237,Havoysund,NO,2021-09-21 12:29:49,70.9963,24.6622,45.48,62,7,37.56
238,Adrar,MR,2021-09-21 12:28:37,20.5022,-10.0711,97.14,16,0,20.22
