City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,Ako,JP,76.5,scattered clouds,34.75,134.4,Hatsune
341,Sechura,PE,75.56,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
342,Wilmington,US,79.99,heavy intensity rain,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
345,Voh,NC,65.17,few clouds,-20.9667,164.7,Le gîte du Koniambo
346,Makakilo City,US,78.69,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
348,Ferrol,ES,67.33,clear sky,43.4832,-8.2369,Parador de Ferrol
349,George Town,MY,80.89,overcast clouds,5.4112,100.3354,Cititel Penang
354,Gat,IL,80.82,clear sky,31.61,34.7642,OlusHome
358,Xacmaz,AZ,65.82,scattered clouds,41.4635,48.806,SAHİL HOTEL
360,Takoradi,GH,77.52,scattered clouds,4.8845,-1.7554,Raybow International Hotel
362,Birjand,IR,69.46,clear sky,32.8663,59.2211,Birjand Tourist Hotel
364,Guerrero Negro,MX,84.87,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
366,Palmer,US,75.47,broken clouds,42.1584,-72.3287,Wedgewood Motel
369,Bandarbeyla,SO,77.83,overcast clouds,9.4942,50.8122,JABIR HOTEL
370,Manado,ID,76.66,overcast clouds,1.487,124.8455,Aryaduta Hotel
371,Kalmunai,LK,81.91,scattered clouds,7.4167,81.8167,VS Villa
372,Hojai,IN,75.22,overcast clouds,26.0,92.8667,Luxury park hotel
373,Cremona,IT,70.77,clear sky,45.2333,9.9333,Pensione S.Giorgio
375,Praya,CV,80.85,scattered clouds,14.9215,-23.5087,LT Aparthotel
376,Marsh Harbour,BS,84.52,broken clouds,26.5412,-77.0636,Abaco Beach Resort
377,Port Hedland,AU,79.97,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
379,Dahuk,IQ,80.35,clear sky,36.8695,42.994,Parwar Hotel
381,Lorengau,PG,80.22,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
382,Guaruja,BR,70.99,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
383,Shimoda,JP,74.5,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
384,Eyl,SO,77.83,overcast clouds,7.9803,49.8164,Amiin Hotel
385,Hamilton,US,74.21,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
387,Boyolangu,ID,74.16,overcast clouds,-8.1181,111.8935,Yos ega cv
389,Matara,LK,77.61,clear sky,5.9485,80.5353,Amaloh Boutique Resort
391,Rabo De Peixe,PT,70.99,scattered clouds,37.8,-25.5833,Quinta das Giestas
394,Benguela,AO,71.4,broken clouds,-12.5763,13.4055,Hotel Praia Morena
398,Boueni,YT,77.29,few clouds,-12.9025,45.0761,The feet in water
399,Mweka,CD,77.92,overcast clouds,-4.85,21.5667,Guest House Boshab
407,Saint-Pierre,RE,66.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
409,Sakaiminato,JP,75.43,scattered clouds,35.55,133.2333,味処・民宿 まつや
410,Ganzhou,CN,71.67,light rain,28.8184,115.4327,Laotou Farm Restaurant Hostel
413,Belmonte,BR,80.38,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
417,Pemba,MZ,76.08,clear sky,-12.974,40.5178,Guesthouse Samotina
420,Padang,ID,77.18,heavy intensity rain,-0.9492,100.3543,Mercure Padang
421,Bardiyah,LY,79.92,clear sky,31.7561,25.0865,بورتو بردية
428,Tibati,CM,70.57,light rain,6.4667,12.6333,Tibati Hotel
429,Axim,GH,77.34,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
430,Isangel,VU,72.48,few clouds,-19.55,169.2667,Tanna Lodge
436,Mudbidri,IN,73.17,broken clouds,13.0833,74.9833,Hotel Navami Comforts
440,Porbandar,IN,81.34,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
442,Touros,BR,83.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
445,Kerman,IR,80.26,broken clouds,30.2832,57.0788,هتل آپارتمان آسام
447,Pisco,PE,67.01,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
448,Kavieng,PG,80.87,light rain,-2.5744,150.7967,Nusa Island Retreat
449,Mayo,US,83.1,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
452,Roebourne,AU,81.82,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
453,Vaitape,PF,78.1,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
454,Kupang,ID,76.5,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
458,Beyneu,KZ,65.46,overcast clouds,45.3167,55.2,NUR
464,Banda Aceh,ID,79.83,overcast clouds,5.5577,95.3222,Sulthan Hotel International
466,Kirakira,SB,77.5,broken clouds,-10.4544,161.9205,SanBiz Lodge
467,Menongue,AO,76.84,broken clouds,-14.6585,17.691,Ritz Lauca
470,Kloulklubed,PW,82.36,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
471,Muisne,EC,77.45,overcast clouds,0.6,-80.0333,Quinta Samay
472,Kontagora,NG,76.66,light rain,10.3999,5.4695,Queens Guest Inn
476,Erzin,TR,79.0,clear sky,36.9559,36.2,Artemis Otel
479,Silopi,TR,82.69,clear sky,37.2497,42.4694,"Özenler Residence Otel, Şırnak Silopi"
481,Mahajanga,MG,79.52,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
485,Inirida,CO,79.63,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
495,Kamisu,JP,71.37,scattered clouds,35.8907,140.6686,Kashima Central Hotel
496,Domoni,KM,77.13,broken clouds,-12.2569,44.5319,Al Djadid
498,Brigantine,US,80.33,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
504,Mattawa,US,66.69,clear sky,46.7379,-119.9028,Sun & Sand Mobile Home Park
506,Buala,SB,79.18,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
507,Vilcun,CL,68.79,clear sky,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
508,Sapele,NG,73.71,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
511,Vallenar,CL,72.34,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
512,Lapeer,US,74.62,broken clouds,43.0514,-83.3188,"Holiday Inn Express Lapeer, an IHG Hotel"
515,Buchanan,LR,80.29,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
519,Bubaque,GW,82.29,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
520,Izumo,JP,73.81,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
522,Phan Thiet,VN,77.54,overcast clouds,10.9333,108.1,Hotel Saigon-PT
524,Kelso,US,74.88,clear sky,46.1468,-122.9084,GuestHouse Kelso Longview
526,Sinjar,IQ,84.49,clear sky,36.3209,41.8754,زوماني فون 1
527,Grayslake,US,67.86,overcast clouds,42.3445,-88.0417,Comfort Suites Libertyville North
531,Port Hawkesbury,CA,73.9,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
533,Ambilobe,MG,71.85,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
537,Amahai,ID,76.33,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
538,Balkanabat,TM,76.71,clear sky,39.5108,54.3671,Nebitchi Hotel
539,Bronkhorstspruit,ZA,66.56,clear sky,-25.8102,28.7425,Tushiya Guest Lodge
542,Pouembout,NC,65.71,few clouds,-21.1333,164.9,Camping de Tipenga
547,Manokwari,ID,76.71,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
549,Galeana,MX,84.31,few clouds,24.8333,-100.0667,Mirador
550,Kununurra,AU,79.45,overcast clouds,-15.7667,128.7333,Hotel Kununurra
552,Pa Sang,TH,72.43,broken clouds,18.5262,98.9394,โรงแรม จามจุรี 99
556,Hualmay,PE,67.73,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
557,Kharsawan,IN,74.53,overcast clouds,22.8,85.8333,Mohan pusty HOME
558,Yerkoy,TR,71.4,overcast clouds,39.6381,34.4672,Yerköy Öğretmenevi
559,Ilheus,BR,81.46,scattered clouds,-14.7889,-39.0494,Barravento Hotel
563,Sao Jose Da Coroa Grande,BR,79.99,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
566,Baikunthpur,IN,73.58,clear sky,23.25,82.55,Hotel Shree Annpurna inn
570,Pitimbu,BR,80.53,few clouds,-7.4706,-34.8086,Reserva do Abiaí
572,Patti,IN,81.39,scattered clouds,31.2808,74.8572,SOKHI NIWAS
574,Sao Joao Da Barra,BR,80.38,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
575,San Policarpo,PH,80.29,broken clouds,12.1791,125.5072,Manong Aklan Resort
576,Watertown,US,77.38,scattered clouds,42.3709,-71.1828,Apt downtown Waltham
579,Kahului,US,74.97,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
581,Sumenep,ID,79.84,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
582,Kanniyakumari,IN,80.46,clear sky,8.0833,77.5667,Sparsa
584,Kamaishi,JP,65.61,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
586,Sandakan,MY,72.37,overcast clouds,5.8402,118.1179,Hotel Sandakan
587,Goderich,CA,73.2,broken clouds,43.7501,-81.7165,Harmony Inn
588,Ibague,CO,76.39,broken clouds,4.4389,-75.2322,Hotel Lusitania
591,Noumea,NC,66.94,clear sky,-22.2763,166.4572,Hôtel Le Lagon
593,Payyannur,IN,76.95,scattered clouds,12.1,75.2,Kavvayi Beach House
594,Viedma,AR,72.46,clear sky,-40.8135,-62.9967,Hotel Cristal
596,Samarai,PG,78.17,overcast clouds,-10.6167,150.6667,Nuli Sapi
598,Mocuba,MZ,72.45,clear sky,-16.8392,36.9856,Phama Lodge
599,Kailua,US,80.15,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
601,Bela,IN,81.21,broken clouds,25.9333,81.9833,Raj Bhawan
602,Kendari,ID,70.83,overcast clouds,-3.945,122.4989,Hotel Wixel
603,Medea,DZ,65.97,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
604,Lengshuijiang,CN,73.71,light rain,27.6881,111.4294,Sheraton
605,Piacabucu,BR,80.71,broken clouds,-10.4056,-36.4344,Piaçabuçu News
606,Springdale,US,68.27,broken clouds,36.1867,-94.1288,Springdale Inn
607,Los Llanos De Aridane,ES,72.12,few clouds,28.6585,-17.9182,Valle Aridane
608,Ishigaki,JP,83.93,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
609,Atchison,US,74.01,scattered clouds,39.563,-95.1216,"Quality Inn, Atchison"
611,North Platte,US,66.02,scattered clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
613,Malartic,CA,68.76,overcast clouds,48.1335,-78.1328,Camping Regional De Malartic
622,Hami,CN,69.75,clear sky,42.8,93.45,Laoyutang Resort
624,Santa Fe,AR,70.02,scattered clouds,-31.6333,-60.7,Conquistador Hotel
626,Luangwa,ZM,76.93,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
627,Gravenhurst,CA,73.56,overcast clouds,44.9168,-79.3663,Residence Inn by Marriott Gravenhurst Muskoka Wharf
629,Neuquen,AR,68.54,clear sky,-38.9516,-68.0591,Hotel del Comahue
